book,chapter,verse,genre,word_node,word,lex,pos,word_hebrew,lemma_hebrew
Genesis,37,9,Narrative,20343,כֹּֽוכָבִ֔ים ,KWKB/,subs,כֹּֽוכָבִ֔ים,כֹּוכָב
Genesis,37,9,Narrative,20344,מִֽשְׁתַּחֲוִ֖ים ,XWH[,verb,מִֽשְׁתַּחֲוִ֖ים,חֲו
Genesis,37,9,Narrative,20345,לִֽי׃ ,L,prep,לִֽי,ל
Genesis,37,10,Narrative,20346,וַ,W,conj,וַ,וַ
Genesis,37,10,Narrative,20347,יְסַפֵּ֣ר ,SPR[,verb,יְסַפֵּ֣ר,סַפֵּר
Genesis,37,10,Narrative,20348,אֶל־,>L,prep,אֶל,אֶל
Genesis,37,10,Narrative,20349,אָבִיו֮ ,>B/,subs,אָבִיו֮,אָב
Genesis,37,10,Narrative,20350,וְ,W,conj,וְ,וְ
Genesis,37,10,Narrative,20351,אֶל־,>L,prep,אֶל,אֶל
Genesis,37,10,Narrative,20352,אֶחָיו֒ ,>X/,subs,אֶחָיו֒,אֶח
Genesis,37,10,Narrative,20353,וַ,W,conj,וַ,וַ
Genesis,37,10,Narrative,20354,יִּגְעַר־,G<R[,verb,יִּגְעַר,גְעַר
Genesis,37,10,Narrative,20355,בֹּ֣ו ,B,prep,בֹּ֣ו,בּ
Genesis,37,10,Narrative,20356,אָבִ֔יו ,>B/,subs,אָבִ֔יו,אָב
Genesis,37,10,Narrative,20357,וַ,W,conj,וַ,וַ
Genesis,37,10,Narrative,20358,יֹּ֣אמֶר ,>MR[,verb,יֹּ֣אמֶר,אמֶר
Genesis,37,10,Narrative,20359,לֹ֔ו ,L,prep,לֹ֔ו,ל
Genesis,37,10,Narrative,20360,מָ֛ה ,MH,prin,מָ֛ה,מָה
Genesis,37,10,Narrative,20361,הַ,H,art,הַ,הַ
Genesis,37,10,Narrative,20362,חֲלֹ֥ום ,XLWM/,subs,חֲלֹ֥ום,חֲלֹום
Genesis,37,10,Narrative,20363,הַ,H,art,הַ,הַ
Genesis,37,10,Narrative,20364,זֶּ֖ה ,ZH,prde,זֶּ֖ה,זֶּה
Genesis,37,10,Narrative,20365,אֲשֶׁ֣ר ,>CR,conj,אֲשֶׁ֣ר,אֲשֶׁר
Genesis,37,10,Narrative,20366,חָלָ֑מְתָּ ,XLM[,verb,חָלָ֑מְתָּ,חָלָםְ
Genesis,37,10,Narrative,20367,הֲ,H=,inrg,הֲ,הֲ
